id,medicine,therapeutic_category,subcategory,list_type,dosage_forms,text
eml-ab204f306a4a,deferoxamine,3. ANTIALLERGICS AND MEDICINES USED IN ANAPHYLAXIS,4.2 Specific,complementary,Powder for injection:500mg(mesilate)invial.,"deferoxamine is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 3. ANTIALLERGICS AND MEDICINES USED IN ANAPHYLAXIS; 4.2 Specific. Listing: complementary. Available dosage forms/strengths: Powder for injection:500mg(mesilate)invial."
eml-3ed71ef7655f,dexamethasone,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,2.3 Medicines for other common symptoms in palliative care,core,Injection:4mg/mL(as disodium phosphate salt)in1mLampoule.Oral liquid:2mg/mLTablet:2mg[c];4mg.,"dexamethasone is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 2. MEDICINES FOR PAIN AND PALLIATIVE CARE; 2.3 Medicines for other common symptoms in palliative care. Listing: core. Available dosage forms/strengths: Injection:4mg/mL(as disodium phosphate salt)in1mLampoule.Oral liquid:2mg/mLTablet:2mg[c];4mg."
eml-e068b886dff1,dexamethasone,22. MEDICINES FOR REPRODUCTIVE HEALTH AND PERINATAL CARE,22.5 Other medicines administered to the mother,core,Injection:4mg/mL(as disodium phosphate salt)in1mLampoule.,"dexamethasone is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 22. MEDICINES FOR REPRODUCTIVE HEALTH AND PERINATAL CARE; 22.5 Other medicines administered to the mother. Listing: core. Available dosage forms/strengths: Injection:4mg/mL(as disodium phosphate salt)in1mLampoule."
eml-6fd84b03da0b,dexamethasone,16. DIURETICS,17.2 Antiemetic medicines,core,Injection:4mg/mL(as disodium phosphate salt)in1mLampoule.Oral liquid:0.5mg/5mL;2mg/5mL.Solid oral dosage form:0.5mg;0.75mg;1.5mg;4mg.,"dexamethasone is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 16. DIURETICS; 17.2 Antiemetic medicines. Listing: core. Available dosage forms/strengths: Injection:4mg/mL(as disodium phosphate salt)in1mLampoule.Oral liquid:0.5mg/5mL;2mg/5mL.Solid oral dosage form:0.5mg;0.75mg;1.5mg;4mg."
eml-fab370b4dc8f,diazepam,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,2.3 Medicines for other common symptoms in palliative care,core,"Injection:5mg/mLOral liquid:2mg/mLRectal get:5mg/mLin0.5mL,2mL,4mL rectal delivery systemRectal solution:2mg/mLin1.25mL,2.5mL rectal tube;4mg/mLin2.5mL rectal tube.Tablet:5mg;10mg.","diazepam is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 2. MEDICINES FOR PAIN AND PALLIATIVE CARE; 2.3 Medicines for other common symptoms in palliative care. Listing: core. Available dosage forms/strengths: Injection:5mg/mLOral liquid:2mg/mLRectal get:5mg/mLin0.5mL,2mL,4mL rectal delivery systemRectal solution:2mg/mLin1.25mL,2.5mL rectal tube;4mg/mLin2.5mL rectal tube.Tablet:5mg;10mg."
eml-d44dcf6ebb7a,diazepam,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,5.1 Antisezure medicines,core,"Rectal gel: 5 mg/mL in 0.5 mL, 2 mL, 4 mL rectal delivery system. Rectal solution: 2 mg/mL in 1.25 mL, 2.5 mL rectal tube; 4 mg/mL in 2.5 mL rectal tube.","diazepam is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM; 5.1 Antisezure medicines. Listing: core. Available dosage forms/strengths: Rectal gel: 5 mg/mL in 0.5 mL, 2 mL, 4 mL rectal delivery system. Rectal solution: 2 mg/mL in 1.25 mL, 2.5 mL rectal tube; 4 mg/mL in 2.5 mL rectal tube."
eml-4fd86b63fe8e,diazoxide,18. MEDICINES FOR ENDOCRINE DISORDERS,18.8 Medicines for hypoglycaemia,complementary,Oral liquid:50 mg/mL.\nTablet:50 mg.,"diazoxide is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 18. MEDICINES FOR ENDOCRINE DISORDERS; 18.8 Medicines for hypoglycaemia. Listing: complementary. Available dosage forms/strengths: Oral liquid:50 mg/mL.\nTablet:50 mg."
eml-3a54ef45fec1,digoxin,7. ANTIMIGRAINE MEDICINES,12.4 Medicines used in heart failure,core,Injection: 250 micrograms/mL in 2 mL ampoule. Oral liquid: 50 micrograms/mL. Tablet: 62.5 micrograms; 250 micrograms.,"digoxin is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 7. ANTIMIGRAINE MEDICINES; 12.4 Medicines used in heart failure. Listing: core. Available dosage forms/strengths: Injection: 250 micrograms/mL in 2 mL ampoule. Oral liquid: 50 micrograms/mL. Tablet: 62.5 micrograms; 250 micrograms."
eml-cc437c0ae0d4,digoxin,7. ANTIMIGRAINE MEDICINES,12.4 Medicines used in heart failure,complementary,Injection: 100 micrograms/mL in 1 mL ampoule; 250 micrograms/mL in 2 mL ampoule. Oral liquid: 50 micrograms/mL. Tablet: 62.5 micrograms; 125 micrograms; 250 mg micrograms.,"digoxin is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 7. ANTIMIGRAINE MEDICINES; 12.4 Medicines used in heart failure. Listing: complementary. Available dosage forms/strengths: Injection: 100 micrograms/mL in 1 mL ampoule; 250 micrograms/mL in 2 mL ampoule. Oral liquid: 50 micrograms/mL. Tablet: 62.5 micrograms; 125 micrograms; 250 mg micrograms."
eml-d3eb3c92dc40,dihydroartemisinin+piperaquine phosphate,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,5.3 Medicines for parkinsonism,core,Tablet: 20 mg+160 mg; 40 mg+320 mg. &gt;5kg,"dihydroartemisinin+piperaquine phosphate is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM; 5.3 Medicines for parkinsonism. Listing: core. Available dosage forms/strengths: Tablet: 20 mg+160 mg; 40 mg+320 mg. &gt;5kg"
eml-298867fe0698,dihydroartemisinin+piperaquine phosphate,30. DENTAL MEDICINES AND PREPARATIONS,,core,&gt;5kg,"dihydroartemisinin+piperaquine phosphate is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 30. DENTAL MEDICINES AND PREPARATIONS. Listing: core. Available dosage forms/strengths: &gt;5kg"
eml-37ab38091b90,diloxanide,30. DENTAL MEDICINES AND PREPARATIONS,,core,&gt;25kg,"diloxanide is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 30. DENTAL MEDICINES AND PREPARATIONS. Listing: core. Available dosage forms/strengths: &gt;25kg"
eml-cf315527b47e,dimercaprol,3. ANTIALLERGICS AND MEDICINES USED IN ANAPHYLAXIS,4.2 Specific,complementary,Injection in oil:50mg/mLin2mLampoule.,"dimercaprol is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 3. ANTIALLERGICS AND MEDICINES USED IN ANAPHYLAXIS; 4.2 Specific. Listing: complementary. Available dosage forms/strengths: Injection in oil:50mg/mLin2mLampoule."
eml-b969929d2581,diphtheria antitoxin,18. MEDICINES FOR ENDOCRINE DISORDERS,"19.2 Sera, immunoglobulins and monoclonal antibodies",core,Injection:10000IU;20000IUinvial.,"diphtheria antitoxin is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 18. MEDICINES FOR ENDOCRINE DISORDERS; 19.2 Sera, immunoglobulins and monoclonal antibodies. Listing: core. Available dosage forms/strengths: Injection:10000IU;20000IUinvial."
eml-095aee30a9d1,docetaxel,7. ANTIMIGRAINE MEDICINES,8.2.1 Cytotoxic medicines,complementary,Injection:20mg/mL;40mg/mL - Early stage breast cancer - Metastatic breast cancer - Metastatic prostate cancer,"docetaxel is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 7. ANTIMIGRAINE MEDICINES; 8.2.1 Cytotoxic medicines. Listing: complementary. Available dosage forms/strengths: Injection:20mg/mL;40mg/mL - Early stage breast cancer - Metastatic breast cancer - Metastatic prostate cancer"
eml-b18843c250d3,docusate sodium,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,2.3 Medicines for other common symptoms in palliative care,core,Capsule:100mg.Oral liquid:50mg/5mL,"docusate sodium is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 2. MEDICINES FOR PAIN AND PALLIATIVE CARE; 2.3 Medicines for other common symptoms in palliative care. Listing: core. Available dosage forms/strengths: Capsule:100mg.Oral liquid:50mg/5mL"
eml-4d916f02efa3,dolutegravir,30. DENTAL MEDICINES AND PREPARATIONS,,core,≥4weeks and≥3kg(10mgdispersible tablet) ≥25kg(50mg tablet),"dolutegravir is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 30. DENTAL MEDICINES AND PREPARATIONS. Listing: core. Available dosage forms/strengths: ≥4weeks and≥3kg(10mgdispersible tablet) ≥25kg(50mg tablet)"
eml-78bc86c24e42,dopamine,7. ANTIMIGRAINE MEDICINES,12.4 Medicines used in heart failure,complementary,Injection: 40 mg/mL (hydrochloride) in 5 mL vial.,"dopamine is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 7. ANTIMIGRAINE MEDICINES; 12.4 Medicines used in heart failure. Listing: complementary. Available dosage forms/strengths: Injection: 40 mg/mL (hydrochloride) in 5 mL vial."
eml-670d8b2e79de,doxorubicin,7. ANTIMIGRAINE MEDICINES,8.2.1 Cytotoxic medicines,complementary,Injection:2mg/mL(hydrochloride) in vial. Powder for injection:10mg;50mg(hydrochloride) in vial. - Acute lymphoblastic leukaemia - Anoplastic large cell lymphoma - Burkitt lymphoma - Diffuse large B-cell lymphoma - Early stage breast cancer - Ewing sarcoma - Follicular lymphoma - Hodgkin lymphoma - Kaposi sarcoma - Metastatic breast cancer - Multiple myeloma - Nephroblastoma(Wilms tumour) - Osteosarcoma,"doxorubicin is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 7. ANTIMIGRAINE MEDICINES; 8.2.1 Cytotoxic medicines. Listing: complementary. Available dosage forms/strengths: Injection:2mg/mL(hydrochloride) in vial. Powder for injection:10mg;50mg(hydrochloride) in vial. - Acute lymphoblastic leukaemia - Anoplastic large cell lymphoma - Burkitt lymphoma - Diffuse large B-cell lymphoma - Early stage breast cancer - Ewing sarcoma - Follicular lymphoma - Hodgkin lymphoma - Kaposi sarcoma - Metastatic breast cancer - Multiple myeloma - Nephroblastoma(Wilms tumour) - Osteosarcoma"
eml-32a506b08987,doxorubicin(as pegylated liposomal),7. ANTIMIGRAINE MEDICINES,8.2.1 Cytotoxic medicines,complementary,"Injection:2mg/mL(hydrochloride) in10mL,25mLvial - Kaposi sarcoma","doxorubicin(as pegylated liposomal) is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 7. ANTIMIGRAINE MEDICINES; 8.2.1 Cytotoxic medicines. Listing: complementary. Available dosage forms/strengths: Injection:2mg/mL(hydrochloride) in10mL,25mLvial - Kaposi sarcoma"
eml-9bcc5a13abae,doxycycline,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,5.3 Medicines for parkinsonism,core,Capsule: 100 mg (as hydrochloride or hyclate). Tablet (dispersible): 100 mg (as monohydrate). *For use only in combination with quinine.,"doxycycline is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM; 5.3 Medicines for parkinsonism. Listing: core. Available dosage forms/strengths: Capsule: 100 mg (as hydrochloride or hyclate). Tablet (dispersible): 100 mg (as monohydrate). *For use only in combination with quinine."
eml-42d2e1f7144d,doxycycline,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,5.3 Medicines for parkinsonism,core,Solid oral dosage form:100mg(as hydrochloride or hyclate).&gt;8years.,"doxycycline is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM; 5.3 Medicines for parkinsonism. Listing: core. Available dosage forms/strengths: Solid oral dosage form:100mg(as hydrochloride or hyclate).&gt;8years."
eml-550a94afdb67,doxycycline,30. DENTAL MEDICINES AND PREPARATIONS,,core,&gt;8years(except for serious infectionse.g. cholera),"doxycycline is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 30. DENTAL MEDICINES AND PREPARATIONS. Listing: core. Available dosage forms/strengths: &gt;8years(except for serious infectionse.g. cholera)"
eml-953c17145651,eflornithine,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,6.5.5 Antitrypanosomal medicines,core,Injection:200mg/mL(hydrochloride)in50mLbottle.*To be used for the treatment ofTrypanosoma brucei gambienseinfection.,"eflornithine is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM; 6.5.5 Antitrypanosomal medicines. Listing: core. Available dosage forms/strengths: Injection:200mg/mL(hydrochloride)in50mLbottle.*To be used for the treatment ofTrypanosoma brucei gambienseinfection."
eml-10d621b9c45e,empagliflozin\n,18. MEDICINES FOR ENDOCRINE DISORDERS,18.5.2 Oral hypoglycaemic agents,core,Tablet:10 mg;25 mg.,"empagliflozin\n is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 18. MEDICINES FOR ENDOCRINE DISORDERS; 18.5.2 Oral hypoglycaemic agents. Listing: core. Available dosage forms/strengths: Tablet:10 mg;25 mg."
eml-be353a3f4f54,ephedrine,"1. ANAESTHETICS, PREOPERATIVE MEDICINES AND MEDICAL GASES",1.2 Local anaesthetics,complementary,"Injection: 30 mg/mL (hydrochloride) in 1 mL ampoule. (For use in spinal anaesthesia during delivery, to prevent hypotension).","ephedrine is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 1. ANAESTHETICS, PREOPERATIVE MEDICINES AND MEDICAL GASES; 1.2 Local anaesthetics. Listing: complementary. Available dosage forms/strengths: Injection: 30 mg/mL (hydrochloride) in 1 mL ampoule. (For use in spinal anaesthesia during delivery, to prevent hypotension)."
eml-d801c65c26b5,epinephrine (adrenaline),25. MEDICINES ACTING ON THE RESPIRATORY TRACT,25.1 Antifastatic medicines and medicines for chronic obstructive pulmonary disease,core,Injection: 1 mg/mL (as hydrochloride or hydrogen tartrate) in 1 mL ampoule.,"epinephrine (adrenaline) is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 25. MEDICINES ACTING ON THE RESPIRATORY TRACT; 25.1 Antifastatic medicines and medicines for chronic obstructive pulmonary disease. Listing: core. Available dosage forms/strengths: Injection: 1 mg/mL (as hydrochloride or hydrogen tartrate) in 1 mL ampoule."
eml-609a52d5e62f,epinephrine(adrenaline),3. ANTIALLERGICS AND MEDICINES USED IN ANAPHYLAXIS,,core,Injection:1mg/mL(as hydrochloride or hydrogen tartrate)in1mLampoule.,"epinephrine(adrenaline) is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 3. ANTIALLERGICS AND MEDICINES USED IN ANAPHYLAXIS. Listing: core. Available dosage forms/strengths: Injection:1mg/mL(as hydrochloride or hydrogen tartrate)in1mLampoule."
eml-416c5969db36,epinephrine(adrenaline),21. OPHTHALMOLOGICAL PREPARATIONS,21.5 Mydriatics,complementary,Solution(eye drops):2%(as hydrochloride).,"epinephrine(adrenaline) is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 21. OPHTHALMOLOGICAL PREPARATIONS; 21.5 Mydriatics. Listing: complementary. Available dosage forms/strengths: Solution(eye drops):2%(as hydrochloride)."
eml-94576f4115ad,equine rabies immunoglobulin,18. MEDICINES FOR ENDOCRINE DISORDERS,"19.2 Sera, immunoglobulins and monoclonal antibodies",core,Injection:150IU/mL;200IU/mL;300IU/mL;400IU/mLinvial.,"equine rabies immunoglobulin is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 18. MEDICINES FOR ENDOCRINE DISORDERS; 19.2 Sera, immunoglobulins and monoclonal antibodies. Listing: core. Available dosage forms/strengths: Injection:150IU/mL;200IU/mL;300IU/mL;400IU/mLinvial."
eml-02a8e45cdfd2,erythromycin,21. OPHTHALMOLOGICAL PREPARATIONS,21.1 Anti-Infective agents,core,Ointment:0.5%[c] -Infections due toChlamydia trachomatis orNeisseria gonorrhoeas.,"erythromycin is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 21. OPHTHALMOLOGICAL PREPARATIONS; 21.1 Anti-Infective agents. Listing: core. Available dosage forms/strengths: Ointment:0.5%[c] -Infections due toChlamydia trachomatis orNeisseria gonorrhoeas."
eml-f5c36cb1880c,estradiol cypionate + medroxyprogesterone acetate,22. MEDICINES FOR REPRODUCTIVE HEALTH AND PERINATAL CARE,22.1.2 Injectable hormonal contraceptives,core,Injection: 5 mg + 25 mg.,"estradiol cypionate + medroxyprogesterone acetate is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 22. MEDICINES FOR REPRODUCTIVE HEALTH AND PERINATAL CARE; 22.1.2 Injectable hormonal contraceptives. Listing: core. Available dosage forms/strengths: Injection: 5 mg + 25 mg."
eml-ce40166770a1,ethinylestradiol + etonogestrel,22. MEDICINES FOR REPRODUCTIVE HEALTH AND PERINATAL CARE,22.1.6 Intravenal contraceptives,core,Vaginal ring: containing 2.7 mg + 11.7 mg,"ethinylestradiol + etonogestrel is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 22. MEDICINES FOR REPRODUCTIVE HEALTH AND PERINATAL CARE; 22.1.6 Intravenal contraceptives. Listing: core. Available dosage forms/strengths: Vaginal ring: containing 2.7 mg + 11.7 mg"
eml-8964fce65ed4,ethinylestradiol + levonorgestrel,22. MEDICINES FOR REPRODUCTIVE HEALTH AND PERINATAL CARE,22.1.1 Oral hormonal contraceptives,core,Tablet: 30 micrograms + 150 micrograms.,"ethinylestradiol + levonorgestrel is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 22. MEDICINES FOR REPRODUCTIVE HEALTH AND PERINATAL CARE; 22.1.1 Oral hormonal contraceptives. Listing: core. Available dosage forms/strengths: Tablet: 30 micrograms + 150 micrograms."
eml-fbf2b471abfa,ethinylestradiol + norethisterone,22. MEDICINES FOR REPRODUCTIVE HEALTH AND PERINATAL CARE,22.1.1 Oral hormonal contraceptives,core,Tablet: 35 micrograms + 1 mg.,"ethinylestradiol + norethisterone is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 22. MEDICINES FOR REPRODUCTIVE HEALTH AND PERINATAL CARE; 22.1.1 Oral hormonal contraceptives. Listing: core. Available dosage forms/strengths: Tablet: 35 micrograms + 1 mg."
eml-0b4e7a5ffb79,ethosuximide,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,5.1 Antisezure medicines,complementary,Capsule:250mg. Oral liquid:250mg/5mL,"ethosuximide is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM; 5.1 Antisezure medicines. Listing: complementary. Available dosage forms/strengths: Capsule:250mg. Oral liquid:250mg/5mL"
eml-a2dfc594b7e3,etonogestrel-releasing implant,22. MEDICINES FOR REPRODUCTIVE HEALTH AND PERINATAL CARE,22.1.5 Implantable contraceptives,core,Single-rod etonogestrel-releasing implant: containing 68 mg of etonogestrel.,"etonogestrel-releasing implant is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 22. MEDICINES FOR REPRODUCTIVE HEALTH AND PERINATAL CARE; 22.1.5 Implantable contraceptives. Listing: core. Available dosage forms/strengths: Single-rod etonogestrel-releasing implant: containing 68 mg of etonogestrel."
eml-90ae4b08008c,etoposide,7. ANTIMIGRAINE MEDICINES,8.2.1 Cytotoxic medicines,complementary,"Capsule:50mg,100mg. Injection:20mg/mLin5mLampoule. Powder for injection:100mg(as phosphate)in vial - Acute lymphoblastic leukaemia - Acute myeloid leukaemia - Anoplastic large cell lymphoma - Burkitt lymphoma - Ewing sarcoma - Gestational trophoblastic neoplasia - Hodgkin lymphoma - Nephroblastoma(Wilms tumour) - Non-small cell lung cancer - Osteosarcoma - Ovarian germ cell tumour - Retinoblastoma - Testicular germ cell tumour","etoposide is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 7. ANTIMIGRAINE MEDICINES; 8.2.1 Cytotoxic medicines. Listing: complementary. Available dosage forms/strengths: Capsule:50mg,100mg. Injection:20mg/mLin5mLampoule. Powder for injection:100mg(as phosphate)in vial - Acute lymphoblastic leukaemia - Acute myeloid leukaemia - Anoplastic large cell lymphoma - Burkitt lymphoma - Ewing sarcoma - Gestational trophoblastic neoplasia - Hodgkin lymphoma - Nephroblastoma(Wilms tumour) - Non-small cell lung cancer - Osteosarcoma - Ovarian germ cell tumour - Retinoblastoma - Testicular germ cell tumour"
eml-5bd68ef6c304,fentanyl,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,2.2 Opioid analgesics,core,Transdermal patch: 12 micrograms/hr; 25 micrograms/hr;50 micrograms/hr; 75 micrograms/hr; 100 micrograms/hr.*For the management of cancer pain,"fentanyl is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 2. MEDICINES FOR PAIN AND PALLIATIVE CARE; 2.2 Opioid analgesics. Listing: core. Available dosage forms/strengths: Transdermal patch: 12 micrograms/hr; 25 micrograms/hr;50 micrograms/hr; 75 micrograms/hr; 100 micrograms/hr.*For the management of cancer pain"
eml-7b5f68b4fc45,fexinidazole,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,6.5.5 Antitrypanosomal medicines,core,Tablet:600mg*For the treatment of1stand2ndstage ofhumanAfricantrypanosomiasis due toTrypanosoma brucei gambienseinfection.,"fexinidazole is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM; 6.5.5 Antitrypanosomal medicines. Listing: core. Available dosage forms/strengths: Tablet:600mg*For the treatment of1stand2ndstage ofhumanAfricantrypanosomiasis due toTrypanosoma brucei gambienseinfection."
eml-27306cdcaff3,fludrocortisone,18. MEDICINES FOR ENDOCRINE DISORDERS,18.1 Adrenal hormones and synthetic substitutes,core,Tablet: 100 micrograms (acetate).,"fludrocortisone is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 18. MEDICINES FOR ENDOCRINE DISORDERS; 18.1 Adrenal hormones and synthetic substitutes. Listing: core. Available dosage forms/strengths: Tablet: 100 micrograms (acetate)."
eml-5f96624b3f21,fluorescein,14. DIAGNOSTIC AGENTS,14.1 Ophthalmic medicines,core,Eye drops:1% (sodium salt).,"fluorescein is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 14. DIAGNOSTIC AGENTS; 14.1 Ophthalmic medicines. Listing: core. Available dosage forms/strengths: Eye drops:1% (sodium salt)."
eml-8fb88f7bd25b,fluoride,30. DENTAL MEDICINES AND PREPARATIONS,,core,"Gel:containing2500to12500ppmfluoride(any type). Mouthrinse:containing230to900ppmfluoride(any type). Toothpaste,creamorgel:containing1000to1500ppmfluoride(any type). Varnish:containing22500ppmfluoride(any type).","fluoride is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 30. DENTAL MEDICINES AND PREPARATIONS. Listing: core. Available dosage forms/strengths: Gel:containing2500to12500ppmfluoride(any type). Mouthrinse:containing230to900ppmfluoride(any type). Toothpaste,creamorgel:containing1000to1500ppmfluoride(any type). Varnish:containing22500ppmfluoride(any type)."
eml-f07f1f798b9c,fluorouracil,7. ANTIMIGRAINE MEDICINES,8.2.1 Cytotoxic medicines,complementary,Injection:50mg/mLin vial. - Early stage breast cancer - Early stage colon cancer - Early stage rectal cancer - Metastatic colorectal cancer - Nasopharyngeal cancer,"fluorouracil is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 7. ANTIMIGRAINE MEDICINES; 8.2.1 Cytotoxic medicines. Listing: complementary. Available dosage forms/strengths: Injection:50mg/mLin vial. - Early stage breast cancer - Early stage colon cancer - Early stage rectal cancer - Metastatic colorectal cancer - Nasopharyngeal cancer"
eml-910ed0b1ac11,fluorouracil,7. ANTIMIGRAINE MEDICINES,13.4 Medicines affecting skin differentiation and proliferation,core,Ointment:5%。,"fluorouracil is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 7. ANTIMIGRAINE MEDICINES; 13.4 Medicines affecting skin differentiation and proliferation. Listing: core. Available dosage forms/strengths: Ointment:5%。"
eml-acd551ebef02,fluoxetine,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,2.3 Medicines for other common symptoms in palliative care,core,Solid oral dosage form:20mg(as hydrochloride).,"fluoxetine is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 2. MEDICINES FOR PAIN AND PALLIATIVE CARE; 2.3 Medicines for other common symptoms in palliative care. Listing: core. Available dosage forms/strengths: Solid oral dosage form:20mg(as hydrochloride)."
eml-6d8cccafc5ac,formepizole,3. ANTIALLERGICS AND MEDICINES USED IN ANAPHYLAXIS,4.2 Specific,complementary,Injection:5mg/mL(sulfate)in20mLampoule or1g/mL(base)in1.5mLampoule.,"formepizole is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 3. ANTIALLERGICS AND MEDICINES USED IN ANAPHYLAXIS; 4.2 Specific. Listing: complementary. Available dosage forms/strengths: Injection:5mg/mL(sulfate)in20mLampoule or1g/mL(base)in1.5mLampoule."
eml-84bdcaa3a8d1,ftudarabine,7. ANTIMIGRAINE MEDICINES,8.2.1 Cytotoxic medicines,complementary,Powder for injection:50mg(phosphate)in vial. Tablet:10mg - Chronic lymphocytic leukaemia.,"ftudarabine is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 7. ANTIMIGRAINE MEDICINES; 8.2.1 Cytotoxic medicines. Listing: complementary. Available dosage forms/strengths: Powder for injection:50mg(phosphate)in vial. Tablet:10mg - Chronic lymphocytic leukaemia."
eml-8690ae13d303,gemcitabine,7. ANTIMIGRAINE MEDICINES,8.2.1 Cytotoxic medicines,complementary,Powder for injection:200mg;1gin vial. - Epithelial ovarian cancer - Non-small cell lung cancer,"gemcitabine is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 7. ANTIMIGRAINE MEDICINES; 8.2.1 Cytotoxic medicines. Listing: complementary. Available dosage forms/strengths: Powder for injection:200mg;1gin vial. - Epithelial ovarian cancer - Non-small cell lung cancer"
